STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,CITIZENSHIP,Citizenship,FREQ,Frequency of observation,MEASURE,Measure,SEX,Sex,BIRTH_PLACE,Place of birth,EDUCATION_LEV,Education level,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2001,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2001,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2002,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2002,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2002,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2002,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2002,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2002,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2003,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2003,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2003,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2003,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2003,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2003,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2004,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2004,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2004,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2004,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2004,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2004,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2005,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2005,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2005,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2005,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2005,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2005,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2006,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2006,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2006,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2006,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2006,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2006,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2007,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2007,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2007,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2007,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2007,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2007,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2008,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2008,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2008,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2008,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2008,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2008,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2009,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2009,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2009,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2009,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2009,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2009,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2010,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2010,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2010,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2010,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2010,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2010,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,_T,Total,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2011,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,NB,Native-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2011,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,M,Male,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2011,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.IMD:DSD_MIG@DF_MIG_NUP_SEX(1.0),"Labour market outcomes of immigrants - Employment, unemployment, and participation rates by sex",I,ISR,Israel,_Z,Not applicable,A,Annual,LF_RATE,Labour force participation rate,F,Female,FB,Foreign-born,_Z,Not applicable,PT_POP_SUB,Percentage of population in the same subgroup,2011,,,,A,Normal value,0,Units,1,One
