country,year,wage_gap,education_gap,employment_gap,native_gap,immigrant_gap,overall_gap,gdp_pc,Gender gap in managerial positions,Gender gap in political representation,Gender gap in top management positions,Lack of confidence in the judicial system and courts - Female - Percentage of population,Legal discrimination on access to justice,Legal discrimination on financial assets,Legal discrimination on freedom of movement,Legal discrimination on inheritance,Legal discrimination on violence against women,Legal discrimination on workplace rights,Perception that a woman earning more money than her husband causes problems,Perception that being a housewife is as fulfilling as working for pay,Perception that men make better political leaders than women,Perception that men should have more right to a job than women,"Perception that when a mother works for pay, the children suffer",Perceptions that men make better business executives than women,unpaid_care_gap,part_time_gap,Gender gap in representation in parliament,Gender gap in professional judges representation,Gender gap in public sector employment ,Gender gap in senior management positions in national administrations
Argentina,2023,7.897972593,-7.549507139999999,20.3478241,,,,,33.0,44.8,8.0,75.1,0.0,0.0,0.0,0.0,75.0,100.0,19.6,57.0,22.7,13.8,38.1,19.1,-3.3999999999999995,-35.99,,,,
Argentina,2024,11.55910732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1970,,,,,,,133.887742,,,,,,,,,,,,,,,,,,,,,,
Australia,1971,,,,,,,130.362508,,,,,,,,,,,,,,,,,,,,,,
Australia,1972,,,,,,,126.330902,,,,,,,,,,,,,,,,,,,,,,
Australia,1973,,,,,,,123.413223,,,,,,,,,,,,,,,,,,,,,,
Australia,1974,,,,,,,122.926558,,,,,,,,,,,,,,,,,,,,,,
Australia,1975,25.65789474,,,,,,125.558892,,,,,,,,,,,,,,,,,,,,,,
Australia,1976,24.71264368,,,,,,123.878631,,,,,,,,,,,,,,,,,,,,,,
Australia,1977,23.56020942,,,,,,120.197047,,,,,,,,,,,,,,,,,,,,,,
Australia,1978,22.48803828,,,,,,119.639987,,,,,,,,,,,,,,,,,,,,,,
Australia,1979,22.76785714,,,,,,118.394033,,,,,,,,,,,,,,,,,,,,,,
Australia,1980,22.05645161,,,,,,120.284248,,,,,,,,,,,,,,,,,,,,,,
Australia,1981,21.37681159,,,,,,121.675912,,,,,,,,,,,,,,,,,,,,,,
Australia,1982,23.91304348,,,,,,117.742494,,,,,,,,,,,,,,,,,,,,,,
Australia,1983,21.76470588,,,,,,118.941766,,,,,,,,,,,,,,,,,,,,,,
Australia,1984,22.13114754,,,,,,118.972835,,,,,,,,,,,,,,,,,,,,,,
Australia,1985,23.0964467,,,,,,118.618686,,,,,,,,,,,,,,,,,,,,,,
Australia,1986,20.71428571,,,,,,117.311348,,,,,,,,,,,,,,,,,,,,,,
Australia,1987,20.4954955,,,,,,118.761074,,,,,,,,,,,,,,,,,,,,,,
Australia,1988,20.79831933,,,,,,117.04068,,,,,,,,,,,,,,,,,,,,,,
Australia,1989,21.19460501,-9.691345000000002,30.252892,,,,115.785918,,,,,,,,,,,,,,,,,,,,,,
Australia,1990,20.73394495,,,,,,111.212628,,,,,,,,,,,,,,,,,,,,,,
Australia,1991,19.12280702,-8.963462999999997,25.771506999999996,,,,109.605885,,,,,,,,,,,,,,,,,,,,,,
Australia,1992,17.62711864,,,,,,111.163144,,,,,,,,,,,,,,,,,,,,,,
Australia,1993,18.53035144,2.090357000000001,23.064159999999998,,,,113.792234,,,,,,,,,,,,,,,,,,,,,,
Australia,1994,20.0,2.666982000000001,23.456467,,,,114.43236,,,,,,,,,,,,,,,,,,,,,,
Australia,1995,18.15476191,3.017521000000002,21.864051999999997,,,,115.394378,,,,,,,,,,,,,,,,,,,,,,
Australia,1996,0.0,,,,,,115.582771,,,,,,,,,,,,,,,,,,,,,,
Australia,1997,19.44074567,-0.993617999999998,21.399024999999995,,,,116.199968,,,,,,,,,,,,,,,,,,,,,,
Australia,1998,18.16993464,-1.9928239999999988,21.031021000000003,,,,118.220292,,,,,,,,,,,,,,,,,,,,,,
Australia,1999,18.6407815,-2.042748999999997,20.999305000000007,,,,118.464798,,,,,,,,,,,,,,,,,,,,,,
Australia,2000,20.33371519,-2.7335,20.674634,16.209266659999997,20.42614747,18.317707064999997,115.552273,,,,,,,,,,,,,,,,,,,,,,
Australia,2001,19.68854283,-3.630693000000001,19.338973999999997,14.791175850000002,21.1184578,17.95481682500001,117.818358,,,,,,,,,,,,,,,,,,-47.53956360000001,,,,
Australia,2002,17.39593383,-2.6088239999999985,19.940441,14.682907100000008,20.30366134999999,17.493284224999996,119.056447,,,,,,,,,,,,,,,,,,-46.78653883999999,49.4,,,
Australia,2003,18.35189069,-2.7492810000000034,18.638413,13.625030519999996,19.620006559999997,16.622518539999987,120.985841,,,,,,,,,,,,,,,,,,-46.99380099999999,,,,
Australia,2004,17.72406848,-3.516268,19.624610999999994,14.41210937000001,19.586906429999992,16.999507899999998,120.323228,,,,,,,,,,,,,,,,,,-46.29520302,,,,
Australia,2005,18.43361987,-2.901674,18.70562799999999,13.291130069999994,19.05078125,16.170955660000004,119.529813,,,,,,,,,,,,,,,,,,-47.22859374000001,,,,
Australia,2006,19.07308378,-4.694576000000001,17.512253,12.543487549999996,18.99732209,15.770404819999996,119.440389,,,,,,,,,,,,,,,,,,-46.51192373999999,,,,
Australia,2007,19.88448845,-4.664659,17.981369,12.113319399999996,18.19144821,15.152383805,119.17383,,,,,,,,,,,,,,,,,,-45.63676254000001,,,,
Australia,2008,19.34189406,-6.220284,20.124816999999997,11.735305789999998,17.464035030000005,14.599670410000002,119.431887,,,,,,,,,,,,,,,,,,-46.16407749999999,,,,
Australia,2009,19.72581874,-5.872306000000002,14.675621000000008,10.86977386000001,17.46411132,14.166942590000003,124.713396,,,,,,,,,,,,,,,,,,-44.922,,,,
Australia,2010,20.38123167,-6.382107000000005,16.347199000000003,11.27996064,17.517486570000003,14.398723605,122.776402,,,,,,,,,,,,,,,,,,-43.77199999999999,,,,
Australia,2011,19.45830364,-7.470134999999999,16.211098000000007,10.694274899999996,17.213684079999993,13.953979489999996,123.987878,,,,,,,,,,,,,,,,,,-44.94200000000001,,,-22.239999999999995,
Australia,2012,20.37659718,-7.444217999999999,15.574737,10.181480409999992,17.214630119999995,13.698055264999994,124.053932,,,,,,,,,,,,,,,,,,-45.444,50.6,,,
Australia,2013,21.38690862,-8.811260000000004,14.506141999999995,10.264289860000003,16.628097530000005,13.446193695000003,123.738538,,,,,,,,,,,,,,,,,,-44.164,,,,
Australia,2014,19.94496811,-6.950085000000001,14.499283000000004,9.615394589999994,16.270225519999997,12.942810054999995,122.649471,,,,,,,,,,,,,,,,,,-43.356,,,,
Australia,2015,18.83669352,-8.798638000000004,14.062331999999998,9.129066469999998,17.692085269999993,13.410575869999988,121.821384,,,,,,,,,,,,,,,,,,-42.404,46.6,,,
Australia,2016,18.41601994,-7.862380999999999,13.000876999999988,8.393630979999998,16.750579830000007,12.572105405000002,121.155888,,,,,,,,,,,,,,,,,,-40.74199999999999,,,,
Australia,2017,15.31138461,-9.701331999999994,12.322699999999998,7.599998470000003,16.299995420000002,11.94999694500001,120.03279,,,,,,,,,,,,,,,,,,-41.146,42.6,,,
Australia,2018,16.34133128,-10.395481000000004,11.407425000000003,7.400001529999997,15.0,11.200000765,118.734749,,,,,,,,,,,,,,,,,,-41.042,,,,
Australia,2019,17.77653193,-9.173278000000003,11.981910999999997,7.016799930000005,13.853698730000003,10.435249330000005,115.56982,,,,,,,,,,,,,,,,,,-40.542,40.0,,,
Australia,2020,14.29781268,-10.354563999999996,11.870681000000005,6.207496649999996,14.461708060000008,10.334602354999989,121.892351,,,,,,,,,,,,,,,,,,-40.056,,,-27.52,
Australia,2021,15.77333185,-10.092650999999996,9.873787000000007,5.738075249999994,13.063377379999991,9.400726314999986,119.829367,,,,,,,,,,,,,,,,,,-38.672,37.8,,,
Australia,2022,15.23969964,-10.729599,9.29274749000001,4.550498959999999,12.13919068,8.344844820000006,119.313938,,,,,,,,,,,,,,,,,,-39.694,,,,
Australia,2023,13.00002495,-11.33921051,8.280204780000005,4.766006470000008,11.237571720000004,8.001789095000007,116.881332,40.0,38.4,,48.5,0.0,0.0,0.0,0.0,25.0,0.0,6.5,65.2,12.6,6.8,25.8,10.7,-2.3,-37.286,23.200000000000003,,,
Australia,2024,11.35703128,-10.15079116821289,8.817916870117188,4.662582389999997,11.05984497,7.861213679999992,114.656928,,,,,,,,,,,,,,,,,,-34.99,,,,
Austria,1970,,,,,,,122.828242,,,,,,,,,,,,,,,,,,,,,,
Austria,1971,,,,,,,125.517066,,,,,,,,,,,,,,,,,,,,,,
Austria,1972,,,,,,,127.171149,,,,,,,,,,,,,,,,,,,,,,
Austria,1973,,,,,,,126.375546,,,,,,,,,,,,,,,,,,,,,,
Austria,1974,,,,,,,130.956375,,,,,,,,,,,,,,,,,,,,,,
Austria,1975,,,,,,,131.545359,,,,,,,,,,,,,,,,,,,,,,
Austria,1976,,,,,,,132.567048,,,,,,,,,,,,,,,,,,,,,,
Austria,1977,,,,,,,135.540041,,,,,,,,,,,,,,,,,,,,,,
Austria,1978,,,,,,,130.845446,,,,,,,,,,,,,,,,,,,,,,
Austria,1979,,,,,,,134.203035,,,,,,,,,,,,,,,,,,,,,,
Austria,1980,,,,,,,136.106599,,,,,,,,,,,,,,,,,,,,,,
Austria,1981,,,,,,,133.758162,,,,,,,,,,,,,,,,,,,,,,
Austria,1982,,,,,,,137.303586,,,,,,,,,,,,,,,,,,,,,,
Austria,1983,,,,,,,138.65909,,,,,,,,,,,,,,,,,,,,,,
Austria,1984,,,,,,,133.409141,,,,,,,,,,,,,,,,,,,,,,
Austria,1985,,,,,,,132.830325,,,,,,,,,,,,,,,,,,,,,,
Austria,1986,,,,,,,132.860844,,,,,,,,,,,,,,,,,,,,,,
Austria,1987,,,,,,,130.798812,,,,,,,,,,,,,,,,,,,,,,
Austria,1988,,,,,,,130.117726,,,,,,,,,,,,,,,,,,,,,,
Austria,1989,,,,,,,130.72121,,,,,,,,,,,,,,,,,,,,,,
Austria,1990,,,,,,,132.464689,,,,,,,,,,,,,,,,,,,,,,
Austria,1991,,,,,,,134.83993,,,,,,,,,,,,,,,,,,,,,,
Austria,1992,,,,,,,134.214051,,,,,,,,,,,,,,,,,,,,,,
Austria,1993,,,,,,,132.9116,,,,,,,,,,,,,,,,,,,,,,
Austria,1994,,,,,,,132.514517,,,,,,,,,,,,,,,,,,,,,,
Austria,1995,,,,,,,133.364697,,,,,,,,,,,,,,,,,,-73.14558715999999,,,,
Austria,1996,,,,,,,132.825569,,,,,,,,,,,,,,,,,,-76.19281487999999,,,,
Austria,1997,,,,,,,131.591622,,,,,,,,,,,,,,,,,,-75.08449568,,,,
Austria,1998,,,,,,,133.098501,,,,,,,,,,,,,,,,,,-75.45972187999999,,,,
Austria,1999,,,,,,,134.372132,,,,,,,,,,,,,,,,,,-76.34128483999999,,,,
Austria,2000,28.29763882,,,17.113464349999994,20.48939132,18.801427835,133.768214,,,,,,,,,,,,,,,,,,-79.09598707999999,,,,
Austria,2001,28.04396689,,,15.938690179999996,21.702720639999995,18.820705409999988,134.102017,,,,,,,,,,,,,,,,,,-78.16743928,,,,
Austria,2002,27.39245884,,,15.083831789999998,17.955749510000004,16.519790650000004,134.26116,,,,,,,,,,,,,,,,,,-78.51421012,46.4,,,
Austria,2003,27.2818896,,,15.115207679999996,18.76843262,16.941820149999998,133.336334,,,,,,,,,,,,,,,,,,-77.52211008,,,,
Austria,2004,27.91124234,7.682825000000001,15.000026999999996,12.574523929999998,18.95440292,15.764463425000002,132.431332,,,,,,,,,,,,,,,,,,-74.4219545,,,,
Austria,2005,27.32388745,6.485363,14.037579000000008,12.670494079999996,19.05927276,15.864883419999998,131.705825,,,,,,,,,,,,,,,,,,-69.7710697,,,,
Austria,2006,27.14676332,6.463581000000001,13.91494800000001,12.19420624,19.30821609,15.751211165,132.061978,,,,,,,,,,,,,,,,,,-70.06039605999999,,,,
Austria,2007,27.01663638,5.920178,14.20047000000001,12.513572699999996,19.81650544,16.165039070000006,133.997733,,,,,,,,,,,,,,,,,,-68.8118661,,,,47.8
Austria,2008,26.00535704,5.412022,13.291977000000005,11.238189700000008,19.4285736,15.333381650000009,135.98309,,,,,,,,,,,,,,,,,,-65.56327658000001,,,,46.2
Austria,2009,24.54597803,4.450057999999999,11.405746000000008,9.79277802,18.5261879,14.159482960000004,136.393262,,,,,,,,,,,,,,,,,,-65.93799999999999,,,,43.4
Austria,2010,24.14373323,3.746296000000001,10.852035999999998,10.53620911,15.970764159999987,13.253486635000002,135.26606,,,,,,,,,,,,,,,,,,-64.482,,,,40.2
Austria,2011,23.55489666,4.020661999999998,10.563026000000008,10.290191650000011,16.88879394,13.589492795000012,136.743927,,,,,,,,,,,,,,,,,,-65.16399999999999,,,22.14,37.6
Austria,2012,22.97117524,3.965084000000001,10.164879,8.526260379999997,17.42667771,12.976469045000002,135.935758,,,,,,,,,,,,,,,,,,-65.416,44.2,,,37.2
Austria,2013,22.74180543,3.1937560000000005,9.709450000000004,8.10141754,16.65059662,12.376007079999994,133.311482,,,,,,,,,,,,,,,,,,-62.31999999999999,,,,34.2
Austria,2014,22.37372994,2.579626000000001,9.152595000000003,7.892829890000002,14.235176079999988,11.064002984999988,131.208664,,,,,,,,,,,,,,,,,,-61.768,,-2.0,,31.599999999999994
Austria,2015,21.76276734,2.826449,8.692709999999991,7.428565979999988,15.865043639999996,11.646804809999992,129.047126,,,,,,,,,,,,,,,,,,-61.652,38.8,,,29.200000000000003
Austria,2016,19.83322424,1.569942000000001,8.697845999999998,7.280136110000001,15.015945439999996,11.148040774999998,128.512772,,,,,,,,,,,,,,,,,,-59.7,,,,26.599999999999994
Austria,2017,19.6190795,1.0448129999999978,9.041740999999988,7.518081659999993,14.869377139999996,11.193729399999995,127.863894,,,,,,,,,,,,,,,,,,-59.708,38.8,,,25.40000000000001
Austria,2018,19.21299348,1.887406000000002,9.637642,7.699996940000005,15.900001520000004,11.799999229999996,128.159638,,,,,,,,,,,,,,,,,,-61.49199999999999,,,,24.599999999999994
Austria,2019,18.39321854,0.8334699999999984,9.271156999999988,8.260093690000005,13.32148742999999,10.79079055999999,128.396248,,,,,,,,,,,,,,,,,,-62.554,25.599999999999994,,,20.599999999999994
Austria,2020,16.9025604,0.384762000000002,8.714264,8.007087709999993,13.77830505,10.892696380000004,125.229505,,,,,,,,,,,,,,,,,,-61.324000000000005,,-2.0,16.459999999999994,22.0
Austria,2021,16.81950144,-0.1257050000000035,8.471710000000002,7.162216190000009,15.706909180000013,11.434562685000015,123.608337,,,,,,,,,,,,,,,,,,-60.608,20.200000000000003,,,19.0
Austria,2022,16.58532495,0.3295749999999984,8.15420499999999,6.772277839999987,14.429229739999997,10.600753789999985,125.508618,,,,,,,,,,,,,,,,,,-59.99199999999999,,,,16.400000000000006
Austria,2023,16.16614083,-0.6310653699999946,7.9628372200000115,6.490005499999995,14.064544679999996,10.277275090000003,122.162446,32.8,41.0,18.8,24.6,0.0,0.0,0.0,0.0,25.0,0.0,,,19.8,13.7,47.2,14.1,-2.2,-56.52799999999999,19.200000000000003,,,
Austria,2024,,-1.6268882751464844,6.922286987304688,5.957763669999991,13.13238525,9.545074459999997,119.307391,,,,,,,,,,,,,,,,,,-57.024,,,,
Belgium,1970,,,,,,,125.716897,,,,,,,,,,,,,,,,,,,,,,
Belgium,1971,,,,,,,126.923117,,,,,,,,,,,,,,,,,,,,,,
Belgium,1972,,,,,,,127.698116,,,,,,,,,,,,,,,,,,,,,,
Belgium,1973,,,,,,,128.72375,,,,,,,,,,,,,,,,,,,,,,
Belgium,1974,,,,,,,133.535834,,,,,,,,,,,,,,,,,,,,,,
Belgium,1975,,,,,,,132.12288,,,,,,,,,,,,,,,,,,,,,,
Belgium,1976,,,,,,,134.068979,,,,,,,,,,,,,,,,,,,,,,
Belgium,1977,,,,,,,131.169001,,,,,,,,,,,,,,,,,,,,,,
Belgium,1978,,,,,,,130.287569,,,,,,,,,,,,,,,,,,,,,,
Belgium,1979,,,,,,,129.49261,,,,,,,,,,,,,,,,,,,,,,
Belgium,1980,,,,,,,134.740056,,,,,,,,,,,,,,,,,,,,,,
Belgium,1981,,,,,,,132.479675,,,,,,,,,,,,,,,,,,,,,,
Belgium,1982,,,,,,,134.090532,,,,,,,,,,,,,,,,,,,,,,
Belgium,1983,,,,,,,131.634914,,,,,,,,,,,,,,,,,,-58.88632870000001,,,,
Belgium,1984,,,,,,,129.686779,,,,,,,,,,,,,,,,,,-57.62985598,,,,
Belgium,1985,,,,,,,128.091364,,,,,,,,,,,,,,,,,,-56.63998839999999,,,,
Belgium,1986,,,,,,,127.576559,,,,,,,,,,,,,,,,,,-57.45855454,,,,
Belgium,1987,,,,,,,126.711977,,,,,,,,,,,,,,,,,,-57.17009258,,,,
Belgium,1988,,,,,,,127.535659,,,,,,,,,,,,,,,,,,-56.29780416,,,,
Belgium,1989,,2.833333999999999,33.92676900000001,,,,127.723675,,,,,,,,,,,,,,,,,,-62.46829697999999,,,,
Belgium,1990,,,,,,,128.544971,,,,,,,,,,,,,,,,,,-59.89381409999999,,,,
Belgium,1991,,2.001778999999999,30.929257,,,,129.613608,,,,,,,,,,,,,,,,,,-61.05902562,,,,
Belgium,1992,,1.0278639999999974,28.860019,,,,129.191158,,,,,,,,,,,,,,,,,,-67.81430498,,,,
Belgium,1993,,,,,,,126.595103,,,,,,,,,,,,,,,,,,-65.2684619,,,,
Belgium,1994,,-0.1294700000000013,25.915756999999992,,,,127.345437,,,,,,,,,,,,,,,,,,-64.0230013,,,,
Belgium,1995,,-0.2566030000000019,24.804489,,,,127.739553,,,,,,,,,,,,,,,,,,-65.14655472000001,,,,
Belgium,1996,,,,,,,126.03422,,,,,,,,,,,,,,,,,,-65.48721468,,,,
Belgium,1997,,,,,,,126.720867,,,,,,,,,,,,,,,,,,-66.09062478000001,,,,
Belgium,1998,,,,,,,126.145586,,,,,,,,,,,,,,,,,,-65.09105242000001,,,,
Belgium,1999,18.53908586,,,,,,127.032293,,,,,,,,,,,,,,,,,,-58.99054744,,,,
Belgium,2000,17.47491639,-1.044899000000001,20.572128,15.776756279999994,27.69017792,21.7334671,127.10523,,,,,,,,,,,,,,,,,,-60.22538829999999,,,,
Belgium,2001,16.10711431,-0.9806729999999996,20.534062,16.468425759999995,29.85589600000001,23.162160879999995,127.197425,,,,,,,,,,,,,,,,,,-65.22523566000001,,,,
Belgium,2002,14.98616054,-1.539788999999999,19.534794,15.980972290000004,25.32073975,20.650856019999992,127.685922,,,,,,,,,,,,,,,,,,-64.2843934,53.4,,,
Belgium,2003,16.56716418,-1.5696049999999993,17.93437200000001,15.481719969999991,24.42358017,19.95265006999999,126.712473,,,,,,,,,,,,,,,,,,-63.81862038,,,,
Belgium,2004,15.01632209,-1.9011159999999985,17.758960000000002,13.682517999999996,23.65447235000001,18.668495175000004,127.335825,,,,,,,,,,,,,,,,,,-62.80804476,,,,
Belgium,2005,14.47979979,-2.321676999999997,16.832854999999995,13.031341550000008,23.660564430000008,18.345952990000008,126.80541,,,,,,,,,,,,,,,,,,-62.29298435999999,,,,
Belgium,2006,12.47364722,-2.460096999999997,15.961436999999997,12.436607360000004,22.473728179999995,17.455167770000003,126.085848,,,,,,,,,,,,,,,,,,-65.00776026,,,,
Belgium,2007,11.68608636,-3.233878999999998,15.402832000000004,11.924262999999996,22.19628143,17.060272214999998,127.295891,,,,,,,,,,,,,,,,,,-63.23705926,,,,76.6
Belgium,2008,11.25082727,-3.315087000000002,14.260661999999996,10.748401640000004,23.36315155999999,17.0557766,127.297197,,,,,,,,,,,,,,,,,,-64.39213520000001,,,,75.4
Belgium,2009,10.30595813,-3.8473799999999976,12.871037,10.170322420000003,21.614807130000003,15.892564775000013,129.173349,,,,,,,,,,,,,,,,,,-62.99199999999999,,,,70.6
Belgium,2010,10.02514142,-3.986267999999996,12.572891000000006,10.17235565,19.500698090000007,14.836526870000014,128.3651,,,,,,,,,,,,,,,,,,-62.756,,,,75.0
Belgium,2011,8.072437078,-4.401412999999998,12.107893999999996,9.35429001,20.467525489999996,14.910907749999993,127.267187,,,,,,,,,,,,,,,,,,-61.99799999999999,,,-10.519999999999996,76.2
Belgium,2012,7.259036145,-5.203994000000002,11.354392999999988,9.311786649999997,19.81270598999999,14.562246319999986,125.782045,,,,,,,,,,,,,,,,,,-61.97999999999999,24.0,,,78.4
Belgium,2013,6.525625745,-5.483897999999996,10.649010000000004,8.411232000000012,20.08126449,14.246248245000018,124.204493,,,,,,,,,,,,,,,,,,-63.94200000000001,,,,77.4
Belgium,2014,6.309420916,-5.995086999999998,9.251175000000003,7.353385919999994,19.657547,13.505466459999994,123.890361,,,,,,,,,,,,,,,,,,-60.844,,-4.0,,74.0
Belgium,2015,6.082238721,-6.452223999999994,8.641067000000007,7.172340390000002,18.290122989999997,12.73123169,122.564529,,,,,,,,,,,,,,,,,,-60.88,21.40000000000001,,,74.6
Belgium,2016,5.254237288,-6.635719000000002,9.863449000000005,7.415168769999994,18.61695099,13.01605988,121.880724,,,,,,,,,,,,,,,,,,-60.592000000000006,,,,66.2
Belgium,2017,5.099778271,-6.798774999999999,10.239936,7.0899505600000055,19.90491104000001,13.497430800000004,120.614438,,,,,,,,,,,,,,,,,,-59.20400000000001,24.0,,,62.8
Belgium,2018,5.082454718,-7.384712999999998,8.770659999999992,6.3000030599999945,17.5,11.900001529999995,120.211937,,,,,,,,,,,,,,,,,,-59.858,,,,61.2
Belgium,2019,4.098791382,-8.264423,8.678069999999991,6.153869630000003,16.23561478,11.194742205000011,121.139607,,,,,,,,,,,,,,,,,,-58.614,24.0,,,57.2
Belgium,2020,0.416992442,-9.018634999999996,8.601387000000003,5.504234319999995,17.683517459999997,11.593875889999993,120.086987,,,,,,,,,,,,,,,,,,-55.646,,-16.0,-14.459999999999994,55.2
Belgium,2021,0.642013354,-9.053165999999996,8.300071000000003,5.503852839999993,17.761589049999998,11.632720944999996,120.00783,,,,,,,,,,,,,,,,,,-52.136,16.0,,,49.4
Belgium,2022,0.783162017,-8.822074999999998,8.104897000000008,4.93399810999999,16.76708603,10.850542069999989,120.646,,,,,,,,,,,,,,,,,,-48.824000000000005,,,,48.6
Belgium,2023,1.189691351,-9.098297120000003,8.1613617,4.940002449999994,17.333778380000005,11.136890414999996,120.395603,34.5,42.7,17.9,35.2,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,-0.0999999999999999,-48.114,14.599999999999994,,,
Belgium,2024,,-8.292667388916009,8.394935607910156,5.40183257999999,16.97887421,11.190353394999988,119.595398,,,,,,,,,,,,,,,,,,-46.02600000000001,,,,
Brazil,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
